1,2003-09-23,1,CheeseBurger,2,2,Soda,2,
1,1234-12-34,12312313,gsdfsfewf,1,No
1,1111-11-11,1111,efwfwef,1,1
1,1111-11-11,0,n,0,
1,1111-11-11,0,n,0,
76,2024-10-22,38586767,Joe,1,Nah
75,9999-99-99,9685858,Jeffery,1,Fortnite
5,200-02011,1,cheeseburger,1,
5,tuesday,2,burger,20,
5,yes,2,burger,20,
1,2024-11-13,12131,Shian,1,
5,2024-11-13,1,cheeseburger,1,
1,2024-11-13,12311,Jeff,1,
3223,2024-11-13,1231231,Kelp,1,
12312,2024-11-13,123213,Pork,1,
123123,2024-11-13,232424,Beeff,1,
1231231,2024-11-13,23442322,ffjsdjsd,1,
1231231,2024-11-13,452332,Pizza,1,
23131,2024-11-14,123131,sjfdsfs,1,
1233,2024-11-14,1231313,gjgfj,1,
1231312,2024-11-14,213231,fgnfbnf,1,
12313,2024-11-14,21313,fgdjfgdf,1,
123123,2024-11-14,34453,dfhsdjfsd,1,
42131,2024-11-14,56565,dfssdfd,1,
12313,2024-11-14,549854,fhdgjfd,1,
4564564,2024-11-13,345353,fdhjgf,1,
43,2024-11-14,3438349,jfdsjfh,1,
213123,2024-11-14,453458,sjfsjdds,1,
12312313,2024-11-14,4345353,dsfsdsdf,1,
234232,2024-11-14,234242,sjfsjfds,1,
123121,2204-12-32,34382482,sdfjddsfns,1,
1123123,2024-23-31,32234848,sfsfdsv,1,
1231231,2232-12-23,23423,dfsdfs,1,
2131231,1212-21-12,233232,sdfsf,1,
1231321,1212-12-12,2147483647,,0,
123123,12-12-12,1231,fsfs,1,
1231231,1212-22-11,234342,fdgdgfd,1,
12312,2211-22-11,21312,dsfsdfs,1,
21312,1111-11-11,12312,dfds,1,
123131,1211-12-21,1231231,fddf,1,
5,2024-11-15,2,burger,3,
12312,1111-11-11,2131231,dsffd,1,
